201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,CUSTOMER_NUM,clustered_label
7442,7420,7350,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7420,8400,1200,7442,7442,97760,3700
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90581,4410
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,90344,3560
8200,8200,0,0,0,7442,0,0,0,0,0,7442,0,0,0,0,0,0,89942,1800
7442,8100,7442,7442,7442,7442,7442,7442,7442,7442,0,8200,7442,7442,7330,7320,8200,8200,89067,3100
0,0,7442,7442,0,0,0,0,0,0,0,8200,0,0,0,0,7442,0,88632,4600
7442,7442,7442,7330,7310,8100,1200,7200,5500,3500,3600,7110,7110,7110,7110,7110,7110,7110,8785,3400
0,7360,0,8200,0,7442,7442,8200,7442,0,8200,0,1100,1100,7200,5300,0,0,87671,2800
7442,7420,7442,7200,7443,7442,7442,7442,7442,7442,8100,7442,8400,7420,7442,7442,7442,7442,87585,3560
8200,0,7442,8200,7200,5300,3500,3600,7110,7110,0,0,0,0,0,0,0,0,86964,1500
7442,8200,7350,0,7442,7442,7442,0,7442,0,0,0,0,7442,0,7442,7442,7442,86928,1600
0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86056,4440
5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85298,4410
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,85107,3560
0,0,7442,8200,7330,7442,8200,7442,0,7420,7442,0,0,7442,7442,8200,0,0,83255,2800
0,0,0,0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,80641,4429
0,0,0,0,0,8200,1100,7200,5300,3500,3600,7110,7110,7110,7110,7110,7110,7110,79760,6800
7442,7442,7430,7442,7442,7420,7430,7430,7449,7449,7410,7410,7410,7410,7410,7140,7110,7110,79182,3560
8200,8200,0,7442,7442,0,7442,7442,7442,7442,7442,7442,7420,0,7442,8100,7442,0,78918,3300
0,7442,0,0,0,0,7442,7442,0,0,7442,7442,0,0,0,0,0,0,77940,4170
0,0,0,0,0,0,0,0,7442,0,7442,7442,0,0,0,0,7442,0,74175,4120
0,0,0,0,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,72032,4760
7330,7320,7442,7442,7442,7442,7350,7310,7350,7320,8100,7445,7330,7310,7310,7430,7340,5500,7172,3560
7442,0,7442,0,7442,7442,7442,7442,7442,7320,7442,7350,7420,7442,7420,7442,7442,7442,71411,3540
7442,7420,1200,7200,5500,7442,7442,7442,7442,7442,7442,7441,7442,8100,7445,7442,7442,7442,66601,3300
7442,7442,7442,7442,7442,7442,7430,7443,7443,7449,7449,7410,7410,7410,7410,7410,7140,7130,63424,3560
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,61884,3560
7442,7330,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7441,7442,7442,7442,7442,5924,3560
7442,7320,7442,7442,7460,7442,7442,7445,7442,7441,7442,7442,8200,0,7442,0,0,0,5883,2110
0,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7441,7442,7442,7442,7442,7442,58661,3600
1200,8100,8200,1100,7200,5300,3500,7442,7442,7450,7443,7460,1100,7460,7442,1510,7443,7460,57850,3700
7445,7442,7442,7442,7442,7442,7445,7430,7443,7350,7449,7410,7410,7410,7130,7130,7140,7140,57643,3560
7442,7442,7442,7442,7442,7442,7420,7442,7442,7442,7442,7442,7442,7442,7442,7350,7442,7442,5516,3560
0,7442,8200,0,0,0,0,0,0,0,0,0,0,8200,0,0,0,0,53763,4300
0,7442,7442,7442,7442,7442,7442,0,7442,7442,7442,7442,0,7442,7442,7442,7442,7442,53663,3200
7320,0,7442,7442,0,0,0,8200,0,0,8200,7442,0,8200,0,0,7442,8200,5056,6700
