0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std
0,0,0,0.4,0.5,0.1,0.0,0.0,0.0,0.0,10,10,40.7,7.211795892841117
0,0,0,0.0,0.0,0.0,0.0,0.3888888888888889,0.6111111111111112,0.0,20,36,80.05555555555556,4.142895152778257
0,0,0,0.0,0.0,0.20454545454545456,0.6818181818181818,0.11363636363636363,0.0,0.0,30,44,63.63636363636363,5.1614431962164025
0,0,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,31,7,68.28571428571429,1.577908716741037
0,0,0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,32,4,71.0,1.5811388300841898
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33,6,61.5,1.3844373104863459
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34,14,65.85714285714286,1.3014905113063284
0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35,9,55.44444444444444,1.5713484026367723
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36,4,62.0,1.4142135623730951
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.9148936170212766,40,47,94.91489361702128,3.9021531821249376
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41,14,92.85714285714286,2.133312074724011
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,18,99.0,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,43,9,89.44444444444444,1.2570787221094177
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44,6,95.66666666666667,0.9428090415820634
