0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89,90_99,cluster,cluster_count,mean,std
0,0,0,0.0,0.0,0.20454545454545456,0.6818181818181818,0.11363636363636363,0.0,0.0,10,44,63.63636363636363,5.1614431962164025
0,0,0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,11,4,71.0,1.5811388300841898
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,14,65.85714285714286,1.3014905113063284
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,4,62.0,1.4142135623730951
0,0,0,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.0,0.0,14,7,68.28571428571429,1.577908716741037
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15,6,61.5,1.3844373104863459
0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16,9,55.44444444444444,1.5713484026367723
0,0,0,0.4,0.5,0.1,0.0,0.0,0.0,0.0,20,10,40.7,7.211795892841117
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.9148936170212766,30,47,94.91489361702128,3.9021531821249376
0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,31,5,88.8,1.16619037896906
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32,9,92.66666666666667,1.0540925533894598
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33,6,95.66666666666667,0.9428090415820634
0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,34,7,90.42857142857143,0.9035079029052513
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,3,97.66666666666667,1.247219128924647
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,17,99.0,0.0
0,0,0,0.0,0.0,0.0,0.0,0.3888888888888889,0.6111111111111112,0.0,40,36,80.05555555555556,4.142895152778257
