201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,CUSTOMER_NUM,clustered_label
7442,7442,7350,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,none,4410.0
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,3560.0
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,none,1800.0
7442,8200,0,0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,none,3100.0
7442,8100,7442,7442,7442,7442,7442,7442,7442,7442,0,7442,7442,7442,7442,7442,7442,7442,none,4600.0
0,0,7442,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,3400.0
7442,8400,7442,7442,7442,7442,1200,7442,7442,0,0,7442,7442,7442,7442,7442,7442,7442,none,2800.0
0,8200,1100,7442,0,7442,7442,7442,8200,0,7442,0,0,0,0,0,0,0,none,3560.0
7442,7442,7442,7360,7442,7442,7442,7420,7442,7442,7442,7442,8400,7442,0,7442,7442,7442,none,1500.0
8400,0,7320,7420,8100,7442,7350,8100,7430,8200,0,0,0,0,0,0,0,7442,none,1600.0
7442,7420,7442,0,7442,7330,1100,0,0,0,0,0,0,7442,7442,7442,7442,7442,none,4440.0
0,0,7442,0,0,0,0,0,0,0,0,0,0,0,0,0,8200,0,none,4410.0
5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,none,3560.0
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,none,2800.0
0,0,7442,7442,7442,7442,7442,7442,7442,7442,7442,0,0,7442,7442,7442,0,0,none,4429.0
0,0,0,0,0,7442,0,0,0,0,0,0,0,0,7442,0,0,0,none,6800.0
0,0,0,0,0,8200,0,7442,8200,1100,0,8200,7442,7442,7360,7442,7442,7442,none,3560.0
7442,7442,7442,7442,7442,7442,7442,7420,7442,7442,7420,7442,7442,7420,7442,7442,7442,7442,none,3300.0
7442,7442,0,7442,7442,0,7442,7442,7442,7442,7442,7442,7320,0,0,0,0,0,none,4170.0
0,0,0,0,0,0,0,7442,0,0,7442,7442,0,0,0,0,0,8200,none,4120.0
0,0,0,0,0,0,0,0,7442,0,7442,7442,0,0,0,0,0,0,none,4760.0
0,0,0,0,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,none,3560.0
7330,7442,7350,7310,7442,7420,7350,7350,7442,7330,8100,7420,7330,7442,8100,7420,7360,7442,none,3540.0
7442,0,7442,0,7442,7442,7442,7442,7442,7442,7442,7442,7350,7442,7442,7442,7360,7310,none,3300.0
7443,8200,1200,7200,5500,7442,7442,7442,7330,7442,7442,7442,7320,7442,7442,7420,0,7442,none,3560.0
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7420,7442,7442,7442,7442,7442,7442,none,3560.0
7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,none,3560.0
7442,7330,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,none,2110.0
7330,7320,7442,7360,7350,7420,7442,7320,7442,7442,8100,7442,8100,0,7442,7442,7442,8400,none,3600.0
0,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7442,7441,7442,7442,7442,7442,7442,none,3700.0
0,8400,8200,1100,7200,5300,3500,3600,7110,7110,7110,7110,7110,7110,7110,7110,7110,7110,none,3560.0
